日期,收盘,ma5,ma10,短期均线>长期均线,买入
2020/5/15,13.23,13.59,13.731,0,
2020/5/14,13.3,13.734,13.76,0,卖出
2020/5/13,13.63,13.812,13.78,1,
2020/5/12,13.79,13.84,13.741,1,
2020/5/11,14,13.868,13.685,1,
2020/5/8,13.95,13.872,13.608,1,
2020/5/7,13.69,13.786,13.558,1,
2020/5/6,13.77,13.748,13.488,1,
2020/4/30,13.93,13.642,13.4,1,
2020/4/29,14.02,13.502,13.275,1,
2020/4/28,13.52,13.344,13.16,1,
2020/4/27,13.5,13.33,13.094,1,
2020/4/24,13.24,13.228,13.003,1,
2020/4/23,13.23,13.158,12.958,1,
2020/4/22,13.23,13.048,12.909,1,
2020/4/21,13.45,12.976,12.864,1,
2020/4/20,12.99,12.858,12.807,1,
2020/4/17,12.89,12.778,12.769,1,买入
2020/4/16,12.68,12.758,12.777,0,
2020/4/15,12.87,12.77,12.798,0,
2020/4/14,12.86,12.752,12.791,0,
2020/4/13,12.59,12.756,12.799,0,
2020/4/10,12.79,12.76,12.855,0,
2020/4/9,12.74,12.796,12.882,0,
2020/4/8,12.78,12.826,12.895,0,
2020/4/7,12.88,12.83,12.878,0,卖出
2020/4/3,12.61,12.842,12.805,1,
2020/4/2,12.97,12.95,12.796,1,
2020/4/1,12.89,12.968,12.722,1,
2020/3/31,12.8,12.964,12.704,1,
2020/3/30,12.94,12.926,12.765,1,买入
2020/3/27,13.15,12.768,12.846,0,
2020/3/26,13.06,12.642,12.983,0,
2020/3/25,12.87,12.476,13.145,0,
2020/3/24,12.61,12.444,13.327,0,
2020/3/23,12.15,12.604,13.542,0,
2020/3/20,12.52,12.924,13.772,0,
2020/3/19,12.23,13.324,14.023,0,
2020/3/18,12.71,13.814,14.339,0,
2020/3/17,13.41,14.21,14.537,0,
2020/3/16,13.75,14.48,14.668,0,
2020/3/13,14.52,14.62,14.772,0,
2020/3/12,14.68,14.722,14.77,0,卖出
2020/3/11,14.69,14.864,14.813,1,
2020/3/10,14.76,14.864,14.843,1,买入
2020/3/9,14.45,14.856,14.871,0,
2020/3/6,15.03,14.924,14.949,0,
2020/3/5,15.39,14.818,15.004,0,
2020/3/4,14.69,14.762,15.024,0,
2020/3/3,14.72,14.822,15.079,0,
2020/3/2,14.79,14.886,15.127,0,
2020/2/28,14.5,14.974,15.185,0,
2020/2/27,15.11,15.19,15.238,0,卖出
2020/2/26,14.99,15.286,15.192,1,
2020/2/25,15.04,15.336,15.17,1,
2020/2/24,15.23,15.368,15.145,1,
2020/2/21,15.58,15.396,15.072,1,
2020/2/20,15.59,15.286,14.976,1,
